sweeps,beta,magnetisation,energy,G,seed
0,0.8,1,-4,1,9
1,0.8,0.9975,-3.98,0.995,9
2,0.8,0.995,-3.96,0.99,9
3,0.8,0.9975,-3.98,0.995,9
4,0.8,0.9975,-3.98,0.995,9
5,0.8,0.99875,-3.99,0.9975,9
6,0.8,0.995,-3.96,0.99,9
7,0.8,0.995,-3.965,0.9925,9
8,0.8,0.99625,-3.97,0.9925,9
9,0.8,0.9975,-3.985,0.995,9
10,0.8,1,-4,1,9
11,0.8,0.99875,-3.99,0.9975,9
12,0.8,0.9975,-3.98,0.995,9
13,0.8,0.99625,-3.97,0.9925,9
14,0.8,0.995,-3.96,0.99,9
15,0.8,0.995,-3.96,0.99,9
16,0.8,0.99,-3.935,0.9875,9
17,0.8,0.98875,-3.92,0.9825,9
18,0.8,0.99125,-3.93,0.9825,9
19,0.8,0.99375,-3.95,0.9875,9
20,0.8,0.99625,-3.97,0.9925,9
21,0.8,0.9975,-3.98,0.995,9
22,0.8,0.99625,-3.97,0.9925,9
23,0.8,0.9975,-3.98,0.995,9
24,0.8,0.9975,-3.985,0.9975,9
25,0.8,0.9975,-3.98,0.995,9
26,0.8,0.9975,-3.98,0.995,9
27,0.8,1,-4,1,9
28,0.8,1,-4,1,9
29,0.8,0.99875,-3.99,0.9975,9
30,0.8,0.995,-3.96,0.99,9
31,0.8,0.995,-3.96,0.99,9
32,0.8,0.99375,-3.95,0.9875,9
33,0.8,0.99375,-3.955,0.99,9
34,0.8,0.99375,-3.95,0.9875,9
35,0.8,0.995,-3.96,0.99,9
36,0.8,0.99875,-3.99,0.9975,9
37,0.8,0.995,-3.96,0.99,9
38,0.8,0.9975,-3.98,0.995,9
39,0.8,0.9975,-3.98,0.995,9
40,0.8,0.99875,-3.99,0.9975,9
41,0.8,0.99875,-3.99,0.9975,9
42,0.8,0.9975,-3.98,0.995,9
43,0.8,0.99875,-3.99,0.9975,9
44,0.8,0.99375,-3.95,0.9875,9
45,0.8,0.99125,-3.935,0.985,9
46,0.8,0.99125,-3.94,0.9825,9
47,0.8,0.99625,-3.97,0.9925,9
48,0.8,0.9925,-3.94,0.985,9
49,0.8,0.995,-3.965,0.9925,9
50,0.8,0.99,-3.93,0.985,9
