sweeps,beta,magnetisation,energy,G,seed
0,0.2,1,-4,1,19
1,0.2,0.62625,-1.95,0.445,19
2,0.2,0.345,-1.21,0.295,19
3,0.2,0.2325,-0.925,0.2475,19
4,0.2,0.13625,-0.955,0.23,19
5,0.2,0.105,-0.97,0.255,19
6,0.2,0.0275,-0.775,0.165,19
7,0.2,0.01,-0.87,0.21,19
8,0.2,0.0375,-1.01,0.2425,19
9,0.2,-0.00625,-0.725,0.1725,19
10,0.2,-0.0375,-0.95,0.21,19
11,0.2,0.00375,-0.73,0.18,19
12,0.2,-0.0525,-0.815,0.17,19
13,0.2,-0.0525,-0.87,0.235,19
14,0.2,-0.0325,-0.965,0.25,19
15,0.2,-0.08125,-0.77,0.185,19
16,0.2,-0.07625,-0.955,0.215,19
17,0.2,-0.01,-0.77,0.1875,19
18,0.2,0.055,-0.8,0.1925,19
19,0.2,0.095,-0.915,0.22,19
20,0.2,0.055,-0.74,0.22,19
21,0.2,-0.01375,-0.885,0.22,19
22,0.2,0.01375,-0.715,0.1975,19
23,0.2,0.03,-0.78,0.18,19
24,0.2,-0.0025,-0.985,0.2225,19
25,0.2,0.03625,-0.825,0.23,19
26,0.2,0.0675,-0.9,0.205,19
27,0.2,0.08,-0.865,0.225,19
28,0.2,0.035,-0.78,0.1975,19
29,0.2,0.02625,-0.79,0.1775,19
30,0.2,0.00125,-0.68,0.1625,19
31,0.2,0.0225,-0.84,0.235,19
32,0.2,0.065,-0.985,0.255,19
33,0.2,0.07125,-0.85,0.2375,19
34,0.2,0.0675,-0.79,0.205,19
35,0.2,0.045,-0.94,0.2325,19
36,0.2,0,-0.955,0.225,19
37,0.2,0.015,-0.795,0.2275,19
38,0.2,0.07625,-0.84,0.2075,19
39,0.2,0.075,-0.79,0.2125,19
40,0.2,-0.0075,-0.84,0.2275,19
41,0.2,-0.02875,-0.905,0.225,19
42,0.2,-0.0425,-0.9,0.2175,19
43,0.2,-0.03625,-0.83,0.2025,19
44,0.2,-0.02625,-0.925,0.2275,19
45,0.2,-0.0625,-0.98,0.2425,19
46,0.2,-0.0475,-0.77,0.19,19
47,0.2,-0.015,-0.78,0.17,19
48,0.2,-0.015,-0.695,0.1625,19
49,0.2,0.01125,-0.8,0.2,19
50,0.2,-0.015,-0.935,0.225,19
