sweeps,beta,magnetisation,energy,G,seed
0,0.5,1,-4,1,16
1,0.5,0.98125,-3.855,0.965,16
2,0.5,0.96625,-3.755,0.94,16
3,0.5,0.9475,-3.65,0.915,16
4,0.5,0.94375,-3.625,0.9025,16
5,0.5,0.935,-3.595,0.89,16
6,0.5,0.9425,-3.6,0.8975,16
7,0.5,0.9275,-3.52,0.8775,16
8,0.5,0.9225,-3.53,0.885,16
9,0.5,0.91125,-3.475,0.8725,16
10,0.5,0.9125,-3.475,0.865,16
11,0.5,0.91625,-3.485,0.875,16
12,0.5,0.9225,-3.51,0.8825,16
13,0.5,0.9125,-3.425,0.86,16
14,0.5,0.93,-3.555,0.8875,16
15,0.5,0.91875,-3.48,0.8725,16
16,0.5,0.925,-3.525,0.885,16
17,0.5,0.92375,-3.52,0.88,16
18,0.5,0.93375,-3.55,0.89,16
19,0.5,0.9275,-3.555,0.8925,16
20,0.5,0.905,-3.465,0.8575,16
21,0.5,0.89875,-3.395,0.84,16
22,0.5,0.90625,-3.505,0.8725,16
23,0.5,0.87375,-3.33,0.8425,16
24,0.5,0.8825,-3.37,0.8425,16
25,0.5,0.8825,-3.345,0.83,16
26,0.5,0.905,-3.475,0.8675,16
27,0.5,0.8825,-3.37,0.835,16
28,0.5,0.87875,-3.41,0.835,16
29,0.5,0.89875,-3.445,0.8625,16
30,0.5,0.91,-3.525,0.875,16
31,0.5,0.915,-3.53,0.88,16
32,0.5,0.91625,-3.56,0.89,16
33,0.5,0.9125,-3.58,0.89,16
34,0.5,0.9125,-3.545,0.8825,16
35,0.5,0.89875,-3.445,0.855,16
36,0.5,0.9025,-3.495,0.8675,16
37,0.5,0.89625,-3.43,0.8575,16
38,0.5,0.91375,-3.47,0.86,16
39,0.5,0.9275,-3.55,0.8875,16
40,0.5,0.92,-3.505,0.875,16
41,0.5,0.9125,-3.485,0.875,16
42,0.5,0.89875,-3.35,0.835,16
43,0.5,0.89875,-3.365,0.835,16
44,0.5,0.9175,-3.425,0.8525,16
45,0.5,0.915,-3.515,0.88,16
46,0.5,0.9275,-3.595,0.895,16
47,0.5,0.93,-3.57,0.8975,16
48,0.5,0.92875,-3.595,0.8975,16
49,0.5,0.92,-3.545,0.9,16
50,0.5,0.92625,-3.52,0.875,16
