sweeps,beta,magnetisation,energy,G,seed
0,0.475,1,-4,1,18
1,0.475,0.96375,-3.735,0.935,18
2,0.475,0.935,-3.58,0.9075,18
3,0.475,0.91625,-3.475,0.8725,18
4,0.475,0.91625,-3.49,0.865,18
5,0.475,0.9,-3.445,0.8625,18
6,0.475,0.8925,-3.39,0.8475,18
7,0.475,0.8875,-3.42,0.855,18
8,0.475,0.89125,-3.395,0.8425,18
9,0.475,0.885,-3.335,0.8275,18
10,0.475,0.8725,-3.335,0.8275,18
11,0.475,0.8775,-3.315,0.8225,18
12,0.475,0.86875,-3.34,0.835,18
13,0.475,0.85,-3.28,0.815,18
14,0.475,0.845,-3.28,0.8175,18
15,0.475,0.8325,-3.24,0.81,18
16,0.475,0.81375,-3.17,0.7975,18
17,0.475,0.84875,-3.3,0.8325,18
18,0.475,0.83375,-3.255,0.825,18
19,0.475,0.8425,-3.285,0.81,18
20,0.475,0.85875,-3.375,0.83,18
21,0.475,0.84125,-3.28,0.815,18
22,0.475,0.82625,-3.165,0.7925,18
23,0.475,0.83375,-3.215,0.8125,18
24,0.475,0.84125,-3.17,0.805,18
25,0.475,0.84875,-3.235,0.805,18
26,0.475,0.8625,-3.26,0.8175,18
27,0.475,0.8575,-3.29,0.82,18
28,0.475,0.86,-3.295,0.8125,18
29,0.475,0.87625,-3.39,0.85,18
30,0.475,0.8475,-3.305,0.8275,18
31,0.475,0.84125,-3.23,0.8075,18
32,0.475,0.82875,-3.255,0.81,18
33,0.475,0.835,-3.24,0.8075,18
34,0.475,0.8675,-3.36,0.84,18
35,0.475,0.8425,-3.23,0.8075,18
36,0.475,0.845,-3.205,0.805,18
37,0.475,0.82625,-3.155,0.785,18
38,0.475,0.8625,-3.24,0.805,18
39,0.475,0.88875,-3.39,0.845,18
40,0.475,0.87125,-3.335,0.825,18
41,0.475,0.91125,-3.46,0.865,18
42,0.475,0.89375,-3.38,0.8375,18
43,0.475,0.89625,-3.39,0.8575,18
44,0.475,0.8825,-3.335,0.8275,18
45,0.475,0.87375,-3.295,0.8175,18
46,0.475,0.90375,-3.45,0.8625,18
47,0.475,0.91875,-3.465,0.865,18
48,0.475,0.92,-3.445,0.8675,18
49,0.475,0.92875,-3.555,0.8875,18
50,0.475,0.93,-3.555,0.885,18
