sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.35,1.0,-4.0,1.0,21,0.006382605220107078,0.009004580606781673
1,0.35,0.9,-3.36,0.8425,21,0.006382605220107078,0.009004580606781673
2,0.35,0.8,-2.815,0.715,21,0.006382605220107078,0.009004580606781673
3,0.35,0.72625,-2.55,0.6375,21,0.006382605220107078,0.009004580606781673
4,0.35,0.705,-2.53,0.635,21,0.006382605220107078,0.009004580606781673
5,0.35,0.6325,-2.295,0.5675,21,0.006382605220107078,0.009004580606781673
6,0.35,0.59625,-2.255,0.5725,21,0.006382605220107078,0.009004580606781673
7,0.35,0.51375,-2.08,0.5125,21,0.006382605220107078,0.009004580606781673
8,0.35,0.4975,-2.165,0.5225,21,0.006382605220107078,0.009004580606781673
9,0.35,0.44625,-2.06,0.515,21,0.006382605220107078,0.009004580606781673
10,0.35,0.3775,-1.865,0.465,21,0.006382605220107078,0.009004580606781673
11,0.35,0.38375,-1.905,0.495,21,0.006382605220107078,0.009004580606781673
12,0.35,0.35125,-1.81,0.435,21,0.006382605220107078,0.009004580606781673
13,0.35,0.3025,-1.8,0.44,21,0.006382605220107078,0.009004580606781673
14,0.35,0.2875,-1.91,0.4625,21,0.006382605220107078,0.009004580606781673
15,0.35,0.2625,-1.97,0.5125,21,0.006382605220107078,0.009004580606781673
16,0.35,0.25,-1.845,0.4625,21,0.006382605220107078,0.009004580606781673
17,0.35,0.24125,-1.85,0.4575,21,0.006382605220107078,0.009004580606781673
18,0.35,0.2475,-1.92,0.4875,21,0.006382605220107078,0.009004580606781673
19,0.35,0.2525,-2.045,0.5125,21,0.006382605220107078,0.009004580606781673
20,0.35,0.21125,-2.02,0.4825,21,0.006382605220107078,0.009004580606781673
21,0.35,0.23,-1.985,0.5025,21,0.006382605220107078,0.009004580606781673
22,0.35,0.22375,-1.81,0.465,21,0.006382605220107078,0.009004580606781673
23,0.35,0.2425,-1.785,0.45,21,0.006382605220107078,0.009004580606781673
24,0.35,0.23875,-1.735,0.45,21,0.006382605220107078,0.009004580606781673
25,0.35,0.245,-1.655,0.4075,21,0.006382605220107078,0.009004580606781673
26,0.35,0.25375,-1.735,0.445,21,0.006382605220107078,0.009004580606781673
27,0.35,0.22625,-1.685,0.4075,21,0.006382605220107078,0.009004580606781673
28,0.35,0.25875,-1.835,0.46,21,0.006382605220107078,0.009004580606781673
29,0.35,0.21125,-1.845,0.4675,21,0.006382605220107078,0.009004580606781673
30,0.35,0.18125,-1.98,0.5075,21,0.006382605220107078,0.009004580606781673
31,0.35,0.1625,-1.86,0.4725,21,0.006382605220107078,0.009004580606781673
32,0.35,0.14375,-1.735,0.425,21,0.006382605220107078,0.009004580606781673
33,0.35,0.1575,-1.765,0.45,21,0.006382605220107078,0.009004580606781673
34,0.35,0.175,-1.845,0.465,21,0.006382605220107078,0.009004580606781673
35,0.35,0.165,-1.645,0.425,21,0.006382605220107078,0.009004580606781673
36,0.35,0.14,-1.8,0.45,21,0.006382605220107078,0.009004580606781673
37,0.35,0.16375,-1.815,0.4625,21,0.006382605220107078,0.009004580606781673
38,0.35,0.13125,-1.77,0.4675,21,0.006382605220107078,0.009004580606781673
39,0.35,0.1475,-1.65,0.43,21,0.006382605220107078,0.009004580606781673
40,0.35,0.165,-1.855,0.47,21,0.006382605220107078,0.009004580606781673
41,0.35,0.145,-1.915,0.4925,21,0.006382605220107078,0.009004580606781673
42,0.35,0.1075,-1.78,0.44,21,0.006382605220107078,0.009004580606781673
43,0.35,0.12625,-1.83,0.46,21,0.006382605220107078,0.009004580606781673
44,0.35,0.1275,-1.84,0.445,21,0.006382605220107078,0.009004580606781673
45,0.35,0.1575,-1.765,0.455,21,0.006382605220107078,0.009004580606781673
46,0.35,0.1,-1.79,0.4475,21,0.006382605220107078,0.009004580606781673
47,0.35,0.08875,-1.87,0.485,21,0.006382605220107078,0.009004580606781673
48,0.35,0.06875,-1.86,0.4775,21,0.006382605220107078,0.009004580606781673
49,0.35,0.05375,-1.88,0.4725,21,0.006382605220107078,0.009004580606781673
50,0.35,0.05375,-1.695,0.4425,21,0.006382605220107078,0.009004580606781673
