sweeps,beta,magnetisation,energy,G,seed
0,0.6,1,-4,1,17
1,0.6,0.9925,-3.94,0.985,17
2,0.6,0.98375,-3.88,0.9725,17
3,0.6,0.97875,-3.845,0.96,17
4,0.6,0.98125,-3.86,0.9675,17
5,0.6,0.9775,-3.84,0.9575,17
6,0.6,0.97875,-3.85,0.965,17
7,0.6,0.98,-3.86,0.965,17
8,0.6,0.97375,-3.81,0.9525,17
9,0.6,0.96625,-3.755,0.9375,17
10,0.6,0.96375,-3.74,0.935,17
11,0.6,0.97125,-3.81,0.9575,17
12,0.6,0.9825,-3.875,0.9675,17
13,0.6,0.98125,-3.86,0.965,17
14,0.6,0.97625,-3.84,0.96,17
15,0.6,0.98,-3.85,0.9625,17
16,0.6,0.97625,-3.82,0.955,17
17,0.6,0.98125,-3.865,0.965,17
18,0.6,0.9875,-3.9,0.975,17
19,0.6,0.985,-3.885,0.97,17
20,0.6,0.9775,-3.84,0.96,17
21,0.6,0.98,-3.85,0.965,17
22,0.6,0.97875,-3.84,0.96,17
23,0.6,0.985,-3.88,0.97,17
24,0.6,0.97875,-3.86,0.9675,17
25,0.6,0.98625,-3.915,0.9775,17
26,0.6,0.98625,-3.89,0.9725,17
27,0.6,0.98625,-3.895,0.975,17
28,0.6,0.99,-3.93,0.985,17
29,0.6,0.98125,-3.855,0.965,17
30,0.6,0.9825,-3.865,0.9675,17
31,0.6,0.98,-3.845,0.96,17
32,0.6,0.97375,-3.81,0.955,17
33,0.6,0.975,-3.825,0.96,17
34,0.6,0.97375,-3.815,0.955,17
35,0.6,0.97125,-3.82,0.9525,17
36,0.6,0.985,-3.89,0.97,17
37,0.6,0.97125,-3.805,0.9475,17
38,0.6,0.9775,-3.835,0.96,17
39,0.6,0.98375,-3.87,0.9675,17
40,0.6,0.97875,-3.845,0.96,17
41,0.6,0.9775,-3.84,0.96,17
42,0.6,0.98125,-3.87,0.97,17
43,0.6,0.985,-3.88,0.97,17
44,0.6,0.97,-3.805,0.955,17
45,0.6,0.9825,-3.865,0.965,17
46,0.6,0.98125,-3.865,0.9675,17
47,0.6,0.96875,-3.805,0.95,17
48,0.6,0.96375,-3.74,0.935,17
49,0.6,0.97125,-3.8,0.9525,17
50,0.6,0.97875,-3.83,0.9575,17
