sweeps,beta,magnetisation,energy,G,seed
0,0.8,1,-4,1,1
1,0.8,1,-4,1,1
2,0.8,1,-4,1,1
3,0.8,0.9975,-3.98,0.995,1
4,0.8,0.9975,-3.98,0.995,1
5,0.8,0.99875,-3.99,0.9975,1
6,0.8,0.99875,-3.99,0.9975,1
7,0.8,0.9975,-3.98,0.995,1
8,0.8,0.9975,-3.98,0.995,1
9,0.8,0.99625,-3.97,0.9925,1
10,0.8,0.99875,-3.99,0.9975,1
11,0.8,0.99875,-3.99,0.9975,1
12,0.8,0.99625,-3.975,0.995,1
13,0.8,0.99375,-3.955,0.99,1
14,0.8,0.99875,-3.99,0.9975,1
15,0.8,0.9975,-3.98,0.995,1
16,0.8,0.99875,-3.99,0.9975,1
17,0.8,1,-4,1,1
18,0.8,0.9975,-3.98,0.995,1
19,0.8,0.99875,-3.99,0.9975,1
20,0.8,0.99625,-3.97,0.9925,1
21,0.8,0.995,-3.965,0.99,1
22,0.8,0.99,-3.92,0.98,1
23,0.8,0.99375,-3.955,0.9875,1
24,0.8,0.99375,-3.95,0.9875,1
25,0.8,0.99375,-3.96,0.9875,1
26,0.8,0.9975,-3.98,0.995,1
27,0.8,0.99625,-3.97,0.9925,1
28,0.8,0.99875,-3.99,0.9975,1
29,0.8,0.99625,-3.97,0.9925,1
30,0.8,0.99125,-3.93,0.9825,1
31,0.8,0.99125,-3.935,0.985,1
32,0.8,0.99625,-3.97,0.9925,1
33,0.8,0.99375,-3.95,0.9875,1
34,0.8,0.995,-3.96,0.99,1
35,0.8,0.99875,-3.99,0.9975,1
36,0.8,0.99875,-3.99,0.9975,1
37,0.8,0.99125,-3.94,0.985,1
38,0.8,0.995,-3.97,0.9925,1
39,0.8,0.9975,-3.98,0.995,1
40,0.8,0.995,-3.96,0.99,1
41,0.8,0.99625,-3.97,0.9925,1
42,0.8,0.99625,-3.975,0.9925,1
43,0.8,0.9975,-3.98,0.995,1
44,0.8,0.99875,-3.99,0.9975,1
45,0.8,0.99625,-3.97,0.9925,1
46,0.8,0.995,-3.96,0.99,1
47,0.8,0.995,-3.96,0.99,1
48,0.8,0.99625,-3.975,0.995,1
49,0.8,0.9975,-3.985,0.9975,1
50,0.8,1,-4,1,1
