sweeps,beta,magnetisation,energy,G,seed
0,0.9,1,-4,1,11
1,0.9,0.9975,-3.98,0.995,11
2,0.9,0.9975,-3.98,0.995,11
3,0.9,0.99875,-3.99,0.9975,11
4,0.9,0.9975,-3.985,0.9975,11
5,0.9,0.99875,-3.99,0.9975,11
6,0.9,0.99875,-3.99,0.9975,11
7,0.9,0.9975,-3.98,0.995,11
8,0.9,0.99625,-3.97,0.9925,11
9,0.9,0.99875,-3.99,0.9975,11
10,0.9,0.99875,-3.99,0.9975,11
11,0.9,1,-4,1,11
12,0.9,0.99625,-3.97,0.9925,11
13,0.9,0.99875,-3.99,0.9975,11
14,0.9,1,-4,1,11
15,0.9,0.99625,-3.97,0.9925,11
16,0.9,0.9975,-3.98,0.995,11
17,0.9,0.99875,-3.99,0.9975,11
18,0.9,0.9975,-3.98,0.995,11
19,0.9,1,-4,1,11
20,0.9,1,-4,1,11
21,0.9,1,-4,1,11
22,0.9,1,-4,1,11
23,0.9,0.99875,-3.99,0.9975,11
24,0.9,0.9975,-3.98,0.995,11
25,0.9,0.99875,-3.99,0.9975,11
26,0.9,0.99875,-3.99,0.9975,11
27,0.9,0.99875,-3.99,0.9975,11
28,0.9,0.9975,-3.98,0.995,11
29,0.9,1,-4,1,11
30,0.9,0.9975,-3.98,0.995,11
31,0.9,0.9975,-3.98,0.995,11
32,0.9,0.9975,-3.98,0.995,11
33,0.9,1,-4,1,11
34,0.9,0.995,-3.96,0.99,11
35,0.9,0.99625,-3.97,0.9925,11
36,0.9,0.99875,-3.99,0.9975,11
37,0.9,0.995,-3.965,0.9925,11
38,0.9,0.995,-3.965,0.99,11
39,0.9,0.99375,-3.955,0.9875,11
40,0.9,1,-4,1,11
41,0.9,1,-4,1,11
42,0.9,1,-4,1,11
43,0.9,0.9975,-3.98,0.995,11
44,0.9,0.99875,-3.99,0.9975,11
45,0.9,0.9975,-3.98,0.995,11
46,0.9,0.99625,-3.97,0.9925,11
47,0.9,0.9975,-3.98,0.995,11
48,0.9,0.99625,-3.97,0.9925,11
49,0.9,0.99625,-3.975,0.995,11
50,0.9,0.9975,-3.98,0.995,11
