sweeps,beta,magnetisation,energy,G,seed
0,0.85,1,-4,1,22
1,0.85,0.9975,-3.98,0.995,22
2,0.85,0.9975,-3.98,0.995,22
3,0.85,0.995,-3.96,0.99,22
4,0.85,0.9975,-3.98,0.995,22
5,0.85,0.99875,-3.99,0.9975,22
6,0.85,1,-4,1,22
7,0.85,1,-4,1,22
8,0.85,0.99875,-3.99,0.9975,22
9,0.85,0.995,-3.965,0.99,22
10,0.85,0.99875,-3.99,0.9975,22
11,0.85,0.99625,-3.97,0.9925,22
12,0.85,0.9975,-3.98,0.995,22
13,0.85,1,-4,1,22
14,0.85,1,-4,1,22
15,0.85,1,-4,1,22
16,0.85,0.99875,-3.99,0.9975,22
17,0.85,0.99625,-3.97,0.9925,22
18,0.85,0.9975,-3.985,0.995,22
19,0.85,0.99625,-3.98,0.9925,22
20,0.85,0.9975,-3.98,0.995,22
21,0.85,1,-4,1,22
22,0.85,1,-4,1,22
23,0.85,0.9975,-3.98,0.995,22
24,0.85,0.99875,-3.99,0.9975,22
25,0.85,0.995,-3.96,0.99,22
26,0.85,0.995,-3.965,0.9925,22
27,0.85,0.995,-3.96,0.99,22
28,0.85,0.9975,-3.98,0.995,22
29,0.85,0.99625,-3.97,0.9925,22
30,0.85,0.9975,-3.98,0.995,22
31,0.85,0.9975,-3.985,0.9975,22
32,0.85,0.99875,-3.99,0.9975,22
33,0.85,0.99875,-3.99,0.9975,22
34,0.85,0.99875,-3.99,0.9975,22
35,0.85,0.9975,-3.98,0.995,22
36,0.85,0.99875,-3.99,0.9975,22
37,0.85,0.99625,-3.975,0.9925,22
38,0.85,0.99625,-3.975,0.995,22
39,0.85,0.99625,-3.97,0.9925,22
40,0.85,0.9975,-3.98,0.995,22
41,0.85,0.99875,-3.99,0.9975,22
42,0.85,1,-4,1,22
43,0.85,1,-4,1,22
44,0.85,0.99875,-3.99,0.9975,22
45,0.85,0.99375,-3.95,0.9875,22
46,0.85,0.995,-3.96,0.99,22
47,0.85,0.99875,-3.99,0.9975,22
48,0.85,0.9975,-3.98,0.995,22
49,0.85,0.9975,-3.98,0.995,22
50,0.85,0.9975,-3.98,0.995,22
