sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.3,1.0,-4.0,1.0,28,0.0041308781975014875,0.006608239143367044
1,0.3,0.8375,-2.995,0.7525,28,0.0041308781975014875,0.006608239143367044
2,0.3,0.70375,-2.41,0.595,28,0.0041308781975014875,0.006608239143367044
3,0.3,0.60375,-2.075,0.5275,28,0.0041308781975014875,0.006608239143367044
4,0.3,0.455,-1.765,0.46,28,0.0041308781975014875,0.006608239143367044
5,0.3,0.41375,-1.73,0.4425,28,0.0041308781975014875,0.006608239143367044
6,0.3,0.32125,-1.62,0.4175,28,0.0041308781975014875,0.006608239143367044
7,0.3,0.26,-1.465,0.3875,28,0.0041308781975014875,0.006608239143367044
8,0.3,0.21875,-1.47,0.3575,28,0.0041308781975014875,0.006608239143367044
9,0.3,0.22875,-1.57,0.38,28,0.0041308781975014875,0.006608239143367044
10,0.3,0.18875,-1.34,0.3475,28,0.0041308781975014875,0.006608239143367044
11,0.3,0.18875,-1.44,0.3375,28,0.0041308781975014875,0.006608239143367044
12,0.3,0.13125,-1.38,0.3175,28,0.0041308781975014875,0.006608239143367044
13,0.3,0.1075,-1.435,0.38,28,0.0041308781975014875,0.006608239143367044
14,0.3,0.055,-1.435,0.3675,28,0.0041308781975014875,0.006608239143367044
15,0.3,0.02,-1.455,0.335,28,0.0041308781975014875,0.006608239143367044
16,0.3,-0.02125,-1.53,0.3775,28,0.0041308781975014875,0.006608239143367044
17,0.3,0.0025,-1.37,0.37,28,0.0041308781975014875,0.006608239143367044
18,0.3,-0.03875,-1.455,0.3575,28,0.0041308781975014875,0.006608239143367044
19,0.3,-0.01125,-1.355,0.3525,28,0.0041308781975014875,0.006608239143367044
20,0.3,-0.03375,-1.415,0.3425,28,0.0041308781975014875,0.006608239143367044
21,0.3,-0.03,-1.585,0.3925,28,0.0041308781975014875,0.006608239143367044
22,0.3,-0.03125,-1.32,0.345,28,0.0041308781975014875,0.006608239143367044
23,0.3,0.00625,-1.39,0.3625,28,0.0041308781975014875,0.006608239143367044
24,0.3,-0.025,-1.405,0.39,28,0.0041308781975014875,0.006608239143367044
25,0.3,-0.0225,-1.5,0.3625,28,0.0041308781975014875,0.006608239143367044
26,0.3,0.00625,-1.355,0.295,28,0.0041308781975014875,0.006608239143367044
27,0.3,0.03,-1.475,0.3575,28,0.0041308781975014875,0.006608239143367044
28,0.3,0.05625,-1.51,0.37,28,0.0041308781975014875,0.006608239143367044
29,0.3,0.08375,-1.325,0.3325,28,0.0041308781975014875,0.006608239143367044
30,0.3,0.135,-1.45,0.3675,28,0.0041308781975014875,0.006608239143367044
31,0.3,0.1,-1.385,0.32,28,0.0041308781975014875,0.006608239143367044
32,0.3,0.0525,-1.45,0.345,28,0.0041308781975014875,0.006608239143367044
33,0.3,0.07,-1.35,0.32,28,0.0041308781975014875,0.006608239143367044
34,0.3,0.0875,-1.26,0.305,28,0.0041308781975014875,0.006608239143367044
35,0.3,0.095,-1.38,0.3425,28,0.0041308781975014875,0.006608239143367044
36,0.3,0.10125,-1.45,0.3825,28,0.0041308781975014875,0.006608239143367044
37,0.3,0.055,-1.56,0.42,28,0.0041308781975014875,0.006608239143367044
38,0.3,0.06625,-1.54,0.3825,28,0.0041308781975014875,0.006608239143367044
39,0.3,0.065,-1.525,0.365,28,0.0041308781975014875,0.006608239143367044
40,0.3,0.11625,-1.58,0.415,28,0.0041308781975014875,0.006608239143367044
41,0.3,0.09625,-1.435,0.3775,28,0.0041308781975014875,0.006608239143367044
42,0.3,0.035,-1.475,0.36,28,0.0041308781975014875,0.006608239143367044
43,0.3,-0.0325,-1.515,0.3775,28,0.0041308781975014875,0.006608239143367044
44,0.3,0.02125,-1.33,0.3025,28,0.0041308781975014875,0.006608239143367044
45,0.3,0.00625,-1.26,0.3075,28,0.0041308781975014875,0.006608239143367044
46,0.3,-0.02,-1.34,0.2975,28,0.0041308781975014875,0.006608239143367044
47,0.3,0.00125,-1.335,0.3325,28,0.0041308781975014875,0.006608239143367044
48,0.3,-0.055,-1.455,0.345,28,0.0041308781975014875,0.006608239143367044
49,0.3,-0.0475,-1.47,0.375,28,0.0041308781975014875,0.006608239143367044
50,0.3,-0.04875,-1.48,0.38,28,0.0041308781975014875,0.006608239143367044
