sweeps,beta,magnetisation,energy,G,seed
0,0.5,1,-4,1,11
1,0.5,0.965,-3.745,0.94,11
2,0.5,0.93375,-3.605,0.8975,11
3,0.5,0.94875,-3.64,0.905,11
4,0.5,0.94625,-3.625,0.905,11
5,0.5,0.93,-3.57,0.8875,11
6,0.5,0.92,-3.505,0.8725,11
7,0.5,0.91875,-3.495,0.8725,11
8,0.5,0.90875,-3.4,0.8525,11
9,0.5,0.90625,-3.45,0.8625,11
10,0.5,0.91,-3.44,0.8625,11
11,0.5,0.9075,-3.435,0.8725,11
12,0.5,0.9075,-3.45,0.8675,11
13,0.5,0.93,-3.565,0.89,11
14,0.5,0.91125,-3.435,0.8625,11
15,0.5,0.9225,-3.525,0.88,11
16,0.5,0.92125,-3.605,0.9,11
17,0.5,0.9125,-3.49,0.8725,11
18,0.5,0.92625,-3.535,0.885,11
19,0.5,0.92125,-3.5,0.8725,11
20,0.5,0.91375,-3.555,0.885,11
21,0.5,0.91375,-3.52,0.88,11
22,0.5,0.8975,-3.45,0.8625,11
23,0.5,0.9125,-3.455,0.86,11
24,0.5,0.89875,-3.42,0.85,11
25,0.5,0.90375,-3.475,0.875,11
26,0.5,0.9075,-3.42,0.855,11
27,0.5,0.9125,-3.465,0.875,11
28,0.5,0.90625,-3.49,0.8725,11
29,0.5,0.91375,-3.49,0.8775,11
30,0.5,0.91125,-3.45,0.86,11
31,0.5,0.92375,-3.535,0.885,11
32,0.5,0.9075,-3.435,0.86,11
33,0.5,0.90625,-3.4,0.86,11
34,0.5,0.91125,-3.44,0.8575,11
35,0.5,0.91,-3.48,0.8725,11
36,0.5,0.91875,-3.455,0.8625,11
37,0.5,0.92875,-3.525,0.8875,11
38,0.5,0.92125,-3.48,0.8725,11
39,0.5,0.90125,-3.4,0.8525,11
40,0.5,0.9175,-3.425,0.8575,11
41,0.5,0.9275,-3.54,0.885,11
42,0.5,0.92625,-3.525,0.8775,11
43,0.5,0.9225,-3.535,0.8875,11
44,0.5,0.91875,-3.53,0.8875,11
45,0.5,0.93,-3.595,0.9075,11
46,0.5,0.91,-3.47,0.8725,11
47,0.5,0.9125,-3.515,0.88,11
48,0.5,0.91625,-3.5,0.8775,11
49,0.5,0.915,-3.52,0.8775,11
50,0.5,0.89125,-3.375,0.835,11
