sweeps,beta,magnetisation,energy,G,seed
0,1,1,-4,1,36
1,1,1,-4,1,36
2,1,0.9975,-3.98,0.995,36
3,1,0.99875,-3.99,0.9975,36
4,1,1,-4,1,36
5,1,1,-4,1,36
6,1,0.99625,-3.97,0.9925,36
7,1,0.9975,-3.98,0.995,36
8,1,1,-4,1,36
9,1,1,-4,1,36
10,1,1,-4,1,36
11,1,0.99875,-3.99,0.9975,36
12,1,1,-4,1,36
13,1,0.99875,-3.99,0.9975,36
14,1,0.9975,-3.98,0.995,36
15,1,0.99875,-3.99,0.9975,36
16,1,0.99875,-3.99,0.9975,36
17,1,1,-4,1,36
18,1,1,-4,1,36
19,1,0.99875,-3.99,0.9975,36
20,1,0.99875,-3.99,0.9975,36
21,1,1,-4,1,36
22,1,1,-4,1,36
23,1,1,-4,1,36
24,1,1,-4,1,36
25,1,1,-4,1,36
26,1,0.99875,-3.99,0.9975,36
27,1,0.99875,-3.99,0.9975,36
28,1,1,-4,1,36
29,1,1,-4,1,36
30,1,1,-4,1,36
31,1,0.99875,-3.99,0.9975,36
32,1,1,-4,1,36
33,1,1,-4,1,36
34,1,1,-4,1,36
35,1,1,-4,1,36
36,1,1,-4,1,36
37,1,1,-4,1,36
38,1,1,-4,1,36
39,1,1,-4,1,36
40,1,1,-4,1,36
41,1,1,-4,1,36
42,1,1,-4,1,36
43,1,1,-4,1,36
44,1,1,-4,1,36
45,1,0.99875,-3.99,0.9975,36
46,1,1,-4,1,36
47,1,1,-4,1,36
48,1,1,-4,1,36
49,1,0.9975,-3.98,0.995,36
50,1,1,-4,1,36
