sweeps,beta,magnetisation,energy,G,seed
0,0.9,1,-4,1,8
1,0.9,0.99875,-3.99,0.9975,8
2,0.9,0.99875,-3.99,0.9975,8
3,0.9,0.99875,-3.99,0.9975,8
4,0.9,0.99625,-3.975,0.9925,8
5,0.9,0.99875,-3.99,0.9975,8
6,0.9,0.9975,-3.98,0.995,8
7,0.9,0.9975,-3.98,0.995,8
8,0.9,0.99875,-3.99,0.9975,8
9,0.9,0.99625,-3.97,0.9925,8
10,0.9,0.995,-3.965,0.99,8
11,0.9,0.99375,-3.95,0.9875,8
12,0.9,0.9975,-3.98,0.995,8
13,0.9,0.99875,-3.99,0.9975,8
14,0.9,0.99875,-3.99,0.9975,8
15,0.9,0.9975,-3.98,0.995,8
16,0.9,0.9975,-3.98,0.995,8
17,0.9,0.9975,-3.98,0.995,8
18,0.9,0.995,-3.965,0.99,8
19,0.9,0.9975,-3.98,0.995,8
20,0.9,0.99875,-3.99,0.9975,8
21,0.9,0.99875,-3.99,0.9975,8
22,0.9,0.99875,-3.99,0.9975,8
23,0.9,0.99875,-3.99,0.9975,8
24,0.9,1,-4,1,8
25,0.9,1,-4,1,8
26,0.9,1,-4,1,8
27,0.9,1,-4,1,8
28,0.9,1,-4,1,8
29,0.9,1,-4,1,8
30,0.9,0.9975,-3.98,0.995,8
31,0.9,0.9975,-3.985,0.9975,8
32,0.9,0.9975,-3.98,0.995,8
33,0.9,0.99625,-3.97,0.9925,8
34,0.9,0.995,-3.965,0.9925,8
35,0.9,0.99625,-3.97,0.9925,8
36,0.9,0.995,-3.96,0.99,8
37,0.9,0.9975,-3.98,0.995,8
38,0.9,0.99875,-3.99,0.9975,8
39,0.9,0.99875,-3.99,0.9975,8
40,0.9,0.9975,-3.98,0.995,8
41,0.9,0.99875,-3.99,0.9975,8
42,0.9,0.9975,-3.98,0.995,8
43,0.9,0.99875,-3.99,0.9975,8
44,0.9,1,-4,1,8
45,0.9,1,-4,1,8
46,0.9,1,-4,1,8
47,0.9,1,-4,1,8
48,0.9,1,-4,1,8
49,0.9,1,-4,1,8
50,0.9,1,-4,1,8
