sweeps,beta,magnetisation,energy,G,seed
0,0.45,1,-4,1,14
1,0.45,0.96875,-3.79,0.945,14
2,0.45,0.935,-3.57,0.8925,14
3,0.45,0.90875,-3.415,0.8525,14
4,0.45,0.875,-3.24,0.81,14
5,0.45,0.86125,-3.15,0.7875,14
6,0.45,0.83125,-3.105,0.78,14
7,0.45,0.80625,-3.01,0.76,14
8,0.45,0.82,-3.13,0.77,14
9,0.45,0.825,-3.17,0.795,14
10,0.45,0.85125,-3.175,0.795,14
11,0.45,0.8475,-3.21,0.8,14
12,0.45,0.81875,-3.2,0.81,14
13,0.45,0.80125,-3.095,0.7625,14
14,0.45,0.8025,-3.03,0.7575,14
15,0.45,0.81875,-3.115,0.7875,14
16,0.45,0.85875,-3.2,0.79,14
17,0.45,0.8825,-3.275,0.815,14
18,0.45,0.875,-3.305,0.82,14
19,0.45,0.86375,-3.31,0.8225,14
20,0.45,0.87,-3.35,0.8325,14
21,0.45,0.87375,-3.295,0.8225,14
22,0.45,0.8425,-3.155,0.785,14
23,0.45,0.8475,-3.21,0.805,14
24,0.45,0.83625,-3.12,0.7825,14
25,0.45,0.8625,-3.235,0.8025,14
26,0.45,0.84875,-3.195,0.795,14
27,0.45,0.855,-3.195,0.8,14
28,0.45,0.8525,-3.285,0.8175,14
29,0.45,0.83625,-3.29,0.8225,14
30,0.45,0.81625,-3.105,0.7775,14
31,0.45,0.84125,-3.19,0.8075,14
32,0.45,0.84125,-3.19,0.795,14
33,0.45,0.83875,-3.17,0.7825,14
34,0.45,0.8225,-2.99,0.75,14
35,0.45,0.7925,-2.96,0.74,14
36,0.45,0.8,-3.02,0.745,14
37,0.45,0.8125,-3.025,0.76,14
38,0.45,0.8475,-3.15,0.775,14
39,0.45,0.86,-3.23,0.8075,14
40,0.45,0.87625,-3.265,0.8225,14
41,0.45,0.86125,-3.21,0.8075,14
42,0.45,0.85625,-3.15,0.785,14
43,0.45,0.86125,-3.15,0.7825,14
44,0.45,0.83375,-3.07,0.7725,14
45,0.45,0.82875,-3.15,0.795,14
46,0.45,0.82875,-3.18,0.7875,14
47,0.45,0.8325,-3.205,0.7875,14
48,0.45,0.81125,-3.09,0.77,14
49,0.45,0.77125,-2.925,0.725,14
50,0.45,0.79,-3.095,0.79,14
